id,sentiment
12311_10,0.6628042
8348_2,0.5004984
5828_4,0.3895905
7186_2,0.3729197
12128_7,0.511858
2913_8,0.4843524
4396_1,0.2998839
395_2,0.6859377
10616_1,0.57161057
9074_9,0.76737344
9252_3,0.6628565
9896_9,0.6767034
574_4,0.49573866
11182_8,0.4469246
11656_4,0.4630342
2322_4,0.13271521
8703_1,0.48248264
7483_1,0.48017195
6007_10,0.43491328
12424_4,0.37281832
4672_1,0.5181877
10841_3,0.3675943
8954_7,0.6040837
7392_1,0.5069157
10288_8,0.671793
5343_4,0.33926943
4950_1,0.42443225
9257_4,0.33921954
8689_3,0.41122884
4480_2,0.56643337
9286_10,0.6504611
12245_10,0.44433737
7529_7,0.5410472
4_4,0.3581269
5299_2,0.23564684
12077_8,0.33289263
10701_2,0.3103433
11579_1,0.48584846
10993_1,0.4073257
8913_1,0.59762084
1350_3,0.545026
3804_2,0.63698024
5025_3,0.5096924
5170_8,0.6459788
8225_8,0.42400667
6427_7,0.76724595
3165_3,0.28384224
7902_9,0.62355965
8208_3,0.6315669
3577_8,0.5271841
4865_1,0.3456221
9063_3,0.35262594
1106_1,0.39926308
1117_9,0.38704503
1050_4,0.5785036
10755_9,0.36131597
2729_8,0.51680976
10072_10,0.646941
2904_7,0.504559
4584_2,0.3956803
189_4,0.07468236
6302_4,0.6372471
8138_9,0.43239465
1262_1,0.27739385
2199_10,0.54949254
6551_7,0.750976
8082_7,0.40462273
4897_8,0.38066128
7360_1,0.5203762
11012_10,0.65309674
12046_1,0.3879466
2331_2,0.4283913
8961_9,0.32771236
751_7,0.53179455
9884_10,0.37525296
10016_8,0.786153
8023_10,0.37548774
2628_1,0.38464937
5832_1,0.22078702
7302_1,0.4673674
4501_3,0.59774905
1121_7,0.41317686
8334_3,0.50947744
9789_10,0.35151476
4230_10,0.6203499
824_4,0.4632881
6803_9,0.5045995
3086_7,0.6389775
1135_8,0.5780847
10136_1,0.45026416
11129_3,0.47383907
2072_8,0.76313907
9501_7,0.441005
319_10,0.4265181
1693_7,0.5091917
10886_1,0.686854
9406_8,0.65914387
10376_10,0.40388352
9902_1,0.3269146
9938_8,0.23738019
7080_9,0.18408133
11944_8,0.43263882
5249_1,0.40797427
9599_2,0.34079912
9620_1,0.5417703
11244_1,0.32478273
6841_10,0.38269162
10050_4,0.59272593
10512_9,0.61541563
11327_3,0.32531658
10681_8,0.7720795
808_3,0.49451378
546_7,0.44386506
10765_1,0.3706769
7189_9,0.35322547
6005_9,0.73239326
11915_9,0.4004488
5740_10,0.5447238
7097_10,0.34824872
9573_10,0.49836075
5084_4,0.6441436
12332_7,0.74290895
8154_1,0.4494442
5610_1,0.37938187
5323_9,0.6273483
11034_8,0.7034185
3977_2,0.5024824
12380_7,0.48852006
1737_8,0.47273856
6030_9,0.6501928
5918_7,0.43172076
7061_9,0.6103863
266_8,0.5747114
1375_10,0.43598765
8648_3,0.4269288
10146_10,0.24752575
4578_10,0.46927205
4685_8,0.7585653
11843_9,0.47557902
5467_10,0.3981971
10140_10,0.50146204
7721_8,0.48891377
11208_10,0.3837767
1063_10,0.3492851
8260_10,0.48580948
3182_9,0.37287375
2797_8,0.45068568
7613_2,0.5287306
11624_4,0.70880675
4847_10,0.4333677
10684_7,0.31685174
6312_1,0.31776875
4925_3,0.6424864
4125_1,0.122769125
2394_10,0.67747426
12105_10,0.42225343
7812_1,0.6789988
1061_8,0.5852987
9343_3,0.41194686
7696_10,0.39307213
9355_10,0.6220077
782_9,0.44075987
9882_10,0.37758127
10642_10,0.37631223
7410_2,0.30865705
9591_4,0.30376282
11902_3,0.79489565
3495_7,0.37887377
6733_1,0.5936736
4552_1,0.17446133
6722_1,0.55811656
188_10,0.3471071
5099_10,0.64226466
10313_1,0.563471
6756_9,0.34433785
6622_2,0.5203585
4807_10,0.46802804
7173_3,0.5832656
11321_8,0.16650185
7909_9,0.7687256
8012_7,0.25084275
8615_4,0.43695876
8117_10,0.49159282
1892_10,0.42088994
4617_1,0.55542654
1893_8,0.47209117
5435_1,0.3207993
162_3,0.32337022
6516_10,0.53919023
11588_7,0.22034624
2006_1,0.62223494
1594_4,0.6353666
1472_1,0.41837734
3647_1,0.38550597
174_7,0.7822317
5539_7,0.49038798
3384_10,0.3009713
3811_4,0.77009076
4079_8,0.3610715
1179_7,0.4574524
3069_9,0.43054992
3769_8,0.77806884
9247_10,0.48912415
10434_1,0.17435257
1147_10,0.29803225
5344_7,0.57883394
8073_10,0.28480157
7833_3,0.6086994
8370_1,0.29483587
9007_8,0.4015437
6624_7,0.5378433
6683_3,0.4994585
12275_7,0.6406393
11927_8,0.47256395
1560_10,0.70362383
1325_9,0.3708844
3548_8,0.5716798
607_1,0.4683616
6702_7,0.7293795
5702_3,0.55963725
11345_8,0.35942757
3428_4,0.5641623
7209_9,0.6497168
8425_8,0.49237165
3087_1,0.62586915
1119_8,0.27197555
5715_3,0.41738227
8645_1,0.61152804
2149_3,0.5556904
10403_10,0.45313677
5628_1,0.54930943
5570_10,0.6172391
1613_3,0.54436976
1454_4,0.3892598
5094_3,0.44741717
7982_1,0.6507583
6894_2,0.6050742
6554_1,0.59705734
4721_3,0.40978998
6904_4,0.3566574
893_8,0.5678871
4605_4,0.5534863
11516_7,0.732536
11718_7,0.43473902
5956_1,0.60733926
7455_9,0.3528301
6396_4,0.32330406
1223_8,0.612282
8556_1,0.47491023
6108_8,0.42979336
11690_1,0.45097402
3778_9,0.28411874
3627_4,0.5293637
8256_4,0.54175544
533_1,0.36222318
5235_4,0.47893125
621_2,0.74353343
5365_1,0.83660084
8180_3,0.3090312
7396_7,0.5107478
9776_10,0.65925574
8175_10,0.69075495
3128_1,0.18345088
4606_1,0.39771664
6158_2,0.27465266
3281_10,0.67365336
4723_4,0.25586173
11994_3,0.5582015
7701_1,0.28856316
103_3,0.5110106
8908_10,0.461549
8876_1,0.4820011
7519_9,0.414286
12456_8,0.32332695
9514_8,0.338998
8680_8,0.48668376
12402_10,0.62622106
362_2,0.5078186
9825_7,0.26932266
2913_3,0.40683672
7164_8,0.21963786
11177_7,0.49291006
5707_10,0.29860038
8103_10,0.36641976
6289_1,0.50753397
11754_1,0.40893933
11640_10,0.6741977
9933_7,0.6208024
185_10,0.3644803
242_10,0.5109791
9369_8,0.58211553
7453_10,0.48779744
7514_7,0.52994835
10860_2,0.37125126
8663_8,0.84374505
9108_1,0.489112
7941_1,0.48376092
10116_1,0.68049586
9841_4,0.5010835
4512_9,0.37065864
4853_2,0.6022495
2664_4,0.5382495
9966_10,0.6313542
5167_2,0.3956374
3894_2,0.51541364
3929_8,0.5589341
7165_10,0.583523
5451_8,0.37163225
2947_4,0.42962572
4611_10,0.32446706
5807_1,0.5672561
9464_8,0.39388254
3124_10,0.5067142
2705_4,0.49779114
12187_8,0.6028555
12319_10,0.79522496
9874_3,0.61228454
3406_4,0.30058554
2327_10,0.30437672
605_10,0.7940206
8080_4,0.499218
3074_10,0.5577607
2499_3,0.44094065
1013_1,0.5982314
11535_1,0.6341559
4118_7,0.522072
10492_8,0.6572794
2129_4,0.39145455
9814_10,0.670863
10671_9,0.2713622
5980_10,0.36803803
2755_2,0.3865304
5461_2,0.4985737
11979_1,0.35173425
8810_1,0.72452474
852_7,0.8085671
10961_4,0.15457411
7436_4,0.51636463
11281_3,0.5276431
4208_3,0.56136775
8213_10,0.50760126
9851_2,0.5796507
4713_7,0.55741715
9528_1,0.5096007
3595_10,0.39970914
5785_3,0.4887117
10370_3,0.37945625
1980_3,0.31937096
8800_4,0.53209853
4437_3,0.31488404
28_3,0.44038355
12171_1,0.37551364
9359_3,0.522176
3831_9,0.60274047
10962_7,0.58755094
1500_9,0.6777447
11470_10,0.34511963
11843_3,0.52146816
11200_4,0.7245855
1067_1,0.5931428
3333_1,0.53189427
4487_4,0.46645883
6428_1,0.33035657
575_7,0.30474538
10904_9,0.7796333
11821_2,0.25407004
11605_1,0.5314193
1111_7,0.37629125
10295_1,0.21895067
1146_4,0.44490775
2405_9,0.5598947
11081_10,0.5396924
2201_10,0.52336407
4844_1,0.4745338
11007_8,0.603145
6535_7,0.29378247
2653_4,0.70745003
8245_10,0.31374112
9951_8,0.33218342
6133_8,0.5474151
10006_2,0.42375362
7350_1,0.45263693
4509_9,0.3921795
948_1,0.33028695
3987_1,0.2014546
2947_10,0.42805257
6041_3,0.26380345
2946_1,0.40508723
11967_4,0.27403545
1185_10,0.5734788
10323_2,0.52407646
11706_2,0.22038336
3663_1,0.3585348
5602_10,0.57421434
4870_10,0.5754656
1994_1,0.38238284
10807_7,0.7290106
6871_3,0.64552546
1175_2,0.34180874
10919_7,0.4858399
8127_10,0.63504225
12497_4,0.23929836
3274_1,0.30745456
2568_3,0.5818453
840_2,0.36526063
5626_10,0.3592146
7561_10,0.714869
4600_3,0.5851752
3324_9,0.6704579
8899_7,0.32197616
5592_8,0.5891347
12483_4,0.08744615
7874_1,0.49567217
5878_10,0.5857653
4303_9,0.5934614
9421_1,0.42575336
10269_4,0.38501778
10615_2,0.38501903
2634_10,0.37636784
7522_1,0.30527884
9289_10,0.5481432
4636_10,0.34424672
1241_7,0.3798147
9458_9,0.61412656
11690_10,0.27766344
7176_4,0.30502105
6212_10,0.8083316
6319_1,0.49973214
5229_3,0.22178428
466_9,0.2708057
8693_2,0.34650725
2952_10,0.4777299
1128_1,0.46571928
3975_10,0.5623847
11365_10,0.62453985
2074_9,0.7088094
9768_10,0.4252836
4895_1,0.56845
5726_10,0.48402187
9993_10,0.66592205
11319_2,0.5927143
10561_2,0.4339288
5455_8,0.5352389
10684_3,0.44273993
3652_3,0.59991086
7825_1,0.4552718
8806_1,0.50052553
275_10,0.4205488
2246_1,0.28540865
11968_2,0.46446458
2528_1,0.4254551
8491_8,0.40553087
13_1,0.49269193
4530_8,0.55616444
5207_3,0.15978536
